,num_topics,scenario_r2,scenario_aic,scenario_bic,4,5
104,2,0.00974705851652824,689197.7801909319,689228.7978421968,174,166
105,2,0.004535508160192436,690397.0982551193,690428.1159063842,040,194
106,2,0.008298807206057135,689531.6939352939,689562.7115865588,190,186
107,2,0.012526415784984812,688555.5920050805,688586.6096563454,097,110
108,2,0.02843669055532183,684844.2711515785,684875.2888028434,051,162
109,2,0.02138216564550255,686497.2930266466,686528.3106779115,162,061
110,2,0.005451409540732977,690186.7801303113,690217.7977815762,088,027
111,2,0.006575336260158049,689928.428388956,689959.4460402209,066,081
112,2,0.01005187629641846,689127.4381609459,689158.4558122108,104,083
113,2,0.005805669567083727,690105.3795695785,690136.3972208434,128,114
114,2,0.007491768462458914,689717.5560133192,689748.5736645841,165,055
115,2,0.0025846440861291287,690844.4302095446,690875.4478608095,047,037
116,2,0.00574038441910929,690120.382729697,690151.400380962,075,197
117,2,0.032442237853557154,683900.3375535721,683931.355204837,173,110
118,2,0.015285909667607345,687916.2027011339,687947.2203523988,073,032
119,2,0.01938092240511735,686964.0566074332,686995.0742586982,067,034
120,2,0.0029589182960488847,690758.677225728,690789.694876993,118,168
121,2,0.019215619415991814,687002.5687481111,687033.586399376,105,044
122,2,0.0005058751327258193,691320.1288257502,691351.1464770151,125,058
123,2,0.004690040292295139,690361.6266674841,690392.644318749,068,067
124,2,0.006003571316338996,690059.893807896,690090.9114591609,142,019
125,2,0.0009651846744078707,691215.1071553115,691246.1248065764,089,197
126,2,0.0038997807647003224,690542.9663824565,690573.9840337214,144,138
127,2,0.0024790475951551594,690868.6184535191,690899.636104784,023,045
128,2,0.003107044538903647,690724.72993582,690755.7475870849,038,199
129,2,0.022719644356282265,686184.8113264537,686215.8289777186,125,115
130,2,0.007254745532808804,689772.1139936217,689803.1316448866,188,133
131,2,0.008545141485599594,689474.9326981286,689505.9503493935,185,189
132,2,0.004660753193086564,690368.349704639,690399.367355904,144,185
133,2,0.008525513560465492,689479.4559528071,689510.473604072,040,189
134,2,0.02089139480723201,686611.8471272851,686642.86477855,050,033
135,2,0.003409046259352233,690655.5021288611,690686.519780126,110,002
136,2,0.006661194436899276,689908.6805587672,689939.6982100321,080,189
137,2,0.0027859258192209913,690798.316927865,690829.3345791299,183,019
138,2,0.019302522801577515,686982.3228853386,687013.3405366035,022,105
139,2,0.0015699457559071872,691076.7541534525,691107.7718047174,177,137
140,2,0.009228785175685483,689317.3311313486,689348.3487826135,144,055
141,2,0.016893991219814275,687542.7748870302,687573.7925382952,120,096
142,2,0.0009957355744050211,691208.119943344,691239.1375946089,099,148
143,2,0.0020886275983430513,690958.0269813465,690989.0446326114,178,138
144,2,0.0035269235796727694,690628.4754368906,690659.4930881555,107,121
145,2,0.0033412239996725157,690671.0508412307,690702.0684924956,187,000
146,2,0.00558808360356311,690155.3791046607,690186.3967559256,198,168
147,2,0.018697427447384563,687123.254590425,687154.2722416898,117,073
148,2,0.010664212660801309,688986.0653611913,689017.0830124562,117,074
149,2,0.0016178641547364148,691065.7881351397,691096.8057864046,049,063
150,2,0.0028958790811099977,690773.1229029361,690804.140554201,016,191
151,2,0.03223085343922505,683950.2492714473,683981.2669227122,156,173
152,2,0.004910579315005603,690310.9941982131,690342.011849478,008,015
153,2,0.01481093440917447,688026.3845379914,688057.4021892563,068,034
154,2,0.004914660157174788,690310.0571919966,690341.0748432615,007,008
155,2,0.01586238097830861,687782.405018331,687813.4226695959,060,120
156,2,0.0037337716085092953,690581.041978607,690612.0596298719,174,132
157,2,0.0043829234719542365,690432.1174205267,690463.1350717916,057,131
158,2,0.005849329675073567,690095.3455036075,690126.3631548724,076,192
159,2,0.01250473388336204,688560.6087383095,688591.6263895744,080,062
160,2,0.00345330910589714,690645.3540008618,690676.3716521267,019,171
161,2,0.005059550938702029,690276.7861854812,690307.8038367461,130,170
162,2,0.006001821829303422,690060.2959498785,690091.3136011434,114,168
163,2,0.044494689870728465,681036.3478172868,681067.3654685518,093,064
164,2,0.02078386638669838,686636.9383857946,686667.9560370595,033,170
165,2,0.010401877615046073,689046.6425217683,689077.6601730332,013,054
166,2,0.002790651755354978,690797.2341125975,690828.2517638624,052,110
167,2,0.005454147870213921,690186.1510382768,690217.1686895418,119,108
168,2,0.0025132660499076476,690860.7805536941,690891.798204959,011,081
169,2,0.002718614414264131,690813.7388850013,690844.7565362662,176,071
170,2,0.001756468227205099,691034.0659401843,691065.0835914492,057,049
171,2,0.0013231820984792586,691133.2171317872,691164.2347830521,090,032
172,2,0.002759517360991004,690804.3675884244,690835.3852396893,144,036
173,2,0.009303258324470542,689300.1561390343,689331.1737902992,114,133
174,2,0.0098504577548435,689173.9214365792,689204.9390878441,000,129
175,2,0.0031914526502765383,690705.3831895844,690736.4008408493,040,094
176,2,0.01320518714427632,688398.4829485555,688429.5005998204,170,029
177,2,0.02337045252430503,686032.6051188738,686063.6227701387,105,120
178,2,0.006553272809431965,689933.5028224956,689964.5204737606,050,176
179,2,0.0010051092211338375,691205.9760796491,691236.993730914,045,183
180,2,0.009071275438993887,689353.6517634777,689384.6694147426,066,023
181,2,0.004097896664553624,690497.5185285232,690528.5361797881,002,116
182,2,0.002587043197364025,690843.8806322915,690874.8982835565,086,128
183,2,0.0033412581059903967,690671.0430223921,690702.060673657,198,007
184,2,0.011498976707831732,688793.1986857834,688824.2163370483,091,128
185,2,0.0012636445522802298,691146.8380664578,691177.8557177227,014,041
186,2,0.00117780370012599,691166.4752134315,691197.4928646964,178,099
187,2,0.0020309087382425206,690971.2419794949,691002.2596307598,108,057
188,2,0.0008307146838092416,691245.858875717,691276.8765269819,048,137
189,2,0.003880251632766063,690547.445882436,690578.4635337009,144,192
190,2,0.014817999435785989,688024.7460258319,688055.7636770968,179,034
191,2,0.004243920480736518,690464.0148279989,690495.0324792638,031,192
192,2,0.0018939739227494812,691002.5907771685,691033.6084284334,184,172
193,2,0.02250166793315289,686235.7673836334,686266.7850348983,095,171
194,2,0.012423300125164571,688579.4498030455,688610.4674543104,024,153
195,2,0.008487650894701049,689488.1811498764,689519.1988011413,185,096
196,2,0.0037370197656564352,690580.2970473042,690611.3146985691,086,060
197,2,0.0016825687705211978,691050.9797934368,691081.9974447017,010,148
198,2,0.018107551005416056,687260.5580591755,687291.5757104404,114,150
199,2,0.007002797919869019,689830.0930599065,689861.1107111714,119,121
200,2,0.0028951253859166304,690773.2956095475,690804.3132608124,132,161
201,2,0.0082937697489045,689532.8545373057,689563.8721885706,089,151
202,2,0.015133009423119237,687951.6773581258,687982.6950093907,194,009
203,2,0.009396713226739517,689278.6017493465,689309.6194006114,097,035
204,2,0.004863633630545761,690321.7731670057,690352.7908182706,012,167
205,2,0.014623229993617093,688069.9124093618,688100.9300606267,034,081
206,2,0.002259233661093263,690918.9614705056,690949.9791217705,132,039
207,2,0.042824019267190816,681435.4942202027,681466.5118714676,008,155
208,2,0.020301105032941025,686749.5545667054,686780.5722179703,091,098
209,2,0.01018804922915506,689096.0068772862,689127.0245285511,092,055
210,2,0.00416998907561883,690480.9782616404,690511.9959129053,175,193
211,2,0.0066269452111522575,689916.5582646423,689947.5759159072,152,064
212,2,0.03193148577197935,684020.916791401,684051.9344426659,173,169
213,2,0.0030819152720138465,690730.4893685561,690761.507019821,168,090
214,2,0.01723553227996122,687463.383769697,687494.401420962,044,125
215,2,0.0011295461886009495,691177.513969576,691208.5316208409,137,014
216,2,0.001315359016298534,691135.0069343067,691166.0245855716,087,047
217,2,0.0019168434622521824,690997.3555008329,691028.3731520978,043,057
218,2,0.007341023462875462,689752.2560322052,689783.2736834701,075,196
219,2,0.0017794261726096217,691028.811149752,691059.8288010169,047,072
220,2,0.004306830982546583,690449.5791297753,690480.5967810402,194,059
221,2,0.0016130827766960287,691066.8823664403,691097.9000177052,113,058
222,2,0.016557911911239898,687620.8695032067,687651.8871544716,150,057
223,2,0.011095312103705846,688886.4830335565,688917.5006848214,163,072
224,2,0.005466433963213557,690183.3284628066,690214.3461140716,092,069
225,2,0.008118327086555688,689573.2718698193,689604.2895210842,159,053
226,2,0.016639710273314456,687601.8645077036,687632.8821589685,166,097
227,2,0.003455373128642192,690644.8807720591,690675.898423324,020,190
228,2,0.03659979676634273,682916.4393869368,682947.4570382017,093,168
229,2,0.021964895175203836,686361.1996066994,686392.2172579643,197,095
230,2,0.0008537288579909541,691240.5960957296,691271.6137469945,038,197
231,2,0.03856933376715199,682448.8597291652,682479.8773804301,190,155
232,2,0.02494854784506484,685663.1102764052,685694.1279276701,083,095
233,2,0.0008167393651863364,691249.0546308719,691280.0722821368,160,137
234,2,0.00473737086458792,690350.7612198115,690381.7788710764,050,167
235,2,0.001047740053071733,691196.2256511941,691227.243302459,140,175
236,2,0.0046697207134669405,690366.291175152,690397.3088264168,080,158
237,2,0.0009345983526545254,691222.1022544503,691253.1199057152,045,153
238,2,0.0005780715945445936,691303.6242164988,691334.6418677637,161,081
