,num_topics,scenario_r2,scenario_aic,scenario_bic,4,5,6
169,3,0.001640670196493832,691061.5688233536,691102.9256917068,006,015,174
170,3,0.0236292059599692,685973.0615794912,686014.4184478445,094,115,097
171,3,0.01187433873548105,688707.4206826288,688748.777550982,072,063,091
172,3,0.013510101640295646,688328.8719575852,688370.2288259384,166,102,014
173,3,0.007248041336243571,689774.6569620289,689816.0138303821,125,050,190
174,3,0.028067220460026965,684932.1430752142,684973.4999435674,001,085,033
175,3,0.026452295195089848,685311.4663909988,685352.823259352,033,131,129
176,3,0.015507107248872831,687865.8724928927,687907.2293612459,009,011,179
177,3,0.00475581401669134,690347.5271604893,690388.8840288426,144,170,156
178,3,0.003912929591261993,690540.9503019766,690582.3071703298,106,144,002
179,3,0.006756567401772995,689887.7422609737,689929.0991293269,198,032,168
180,3,0.010481791270300578,689029.190926402,689070.5477947552,185,183,097
181,3,0.043803301007803164,681202.6147815513,681243.9716499045,188,155,079
182,3,0.03736529670633659,682735.8188501971,682777.1757185503,093,068,042
183,3,0.01441623542529813,688118.9039588638,688160.260827217,073,137,159
184,3,0.016393628737388255,687660.0341933073,687701.3910616605,055,021,137
185,3,0.03797278588955877,682591.5847336447,682632.9416019979,093,118,040
186,3,0.01116022006491224,688872.4857666246,688913.8426349778,028,075,167
187,3,0.01166049383937362,688756.8624075763,688798.2192759295,086,091,184
188,3,0.01677852107004696,687570.6096349182,687611.9665032714,024,068,189
189,3,0.006478350659121168,689951.733516915,689993.0903852682,010,185,067
190,3,0.022990066943815668,686122.579185571,686163.9360539243,018,162,060
191,3,0.004215690609371325,690471.4922567086,690512.8491250618,148,107,121
192,3,0.015966141081274476,687759.3141959931,687800.6710643463,066,004,082
193,3,0.002703490944627851,690818.203718784,690859.5605871372,089,144,122
194,3,0.010487958046420665,689027.766993132,689069.1238614852,134,059,043
195,3,0.044511587087468496,681033.3072583223,681074.6641266755,122,064,093
196,3,0.019939100241337382,686834.9648367321,686876.3217050853,002,146,006
197,3,0.01347882289826452,688336.1163779588,688377.473246312,163,170,023
198,3,0.01648613363683571,687638.5451185148,687679.901986868,164,020,032
199,3,0.0027538035783665205,690806.6766840754,690848.0335524286,069,107,004
200,3,0.008338330818159156,689523.5876957555,689564.9445641087,128,159,102
201,3,0.01132436593269115,688834.5547951353,688875.9116634885,012,168,133
202,3,0.007690147889724441,689672.8829691177,689714.2398374709,069,133,179
203,3,0.021072472824472555,686570.5871678856,686611.9440362388,021,025,193
204,3,0.02368062793327874,685961.0278765166,686002.3847448698,122,104,162
205,3,0.017419028787239,687421.7186515792,687463.0755199324,029,092,016
206,3,0.006867763926925563,689862.1614848058,689903.518353159,083,103,131
207,3,0.015748843251483846,687809.7630485226,687851.1199168758,150,063,094
208,3,0.01891087022854976,687074.551911664,687115.9087800172,073,069,102
209,3,0.039920241783401034,682128.5920660596,682169.9489344128,155,192,041
210,3,0.00674273834503869,689890.9234371788,689932.280305532,021,072,167
211,3,0.005171200746653115,690252.1449224467,690293.5017907999,027,199,174
212,3,0.010764213961422464,688963.9692926421,689005.3261609953,186,174,012
213,3,0.015571717365889581,687850.8771608742,687892.2340292274,118,050,024
214,3,0.016428941961985966,687651.8310984806,687693.1879668338,073,199,183
215,3,0.011635259446423185,688762.6959861852,688804.0528545384,068,001,077
216,3,0.026073793804869405,685400.2800421005,685441.6369104537,062,034,165
217,3,0.01179440988835323,688725.9017776127,688767.258645966,163,144,007
218,3,0.016038523261794224,687742.5071462409,687783.8640145941,069,082,151
219,3,0.016421645727379475,687653.5260033631,687694.8828717163,102,088,096
220,3,0.024148280006732303,685851.5594480806,685892.9163164338,115,153,194
221,3,0.0031816159773563335,690708.6378714745,690749.9947398277,014,196,061
222,3,0.001970409722369504,690986.0926713694,691027.4495397226,004,058,192
223,3,0.013389295790579903,688356.8503414134,688398.2072097666,196,109,098
224,3,0.02619322138811564,685372.2606238846,685413.6174922378,044,045,025
225,3,0.010198033911168802,689094.7020387077,689136.0589070609,177,142,082
226,3,0.04598576177163283,680680.5201898381,680721.8770581913,104,067,173
227,3,0.002240755242617576,690924.1929805842,690965.5498489374,197,113,058
228,3,0.001637117038170488,691062.3819923243,691103.7388606775,171,071,045
229,3,0.00521970522656523,690241.0045943097,690282.3614626629,176,071,056
230,3,0.009541098860213482,689246.2967091248,689287.653577478,132,148,008
231,3,0.0030750518669828697,690733.0623671066,690774.4192354598,197,020,019
232,3,0.04402567542170499,681149.4722824607,681190.8291508139,051,093,058
233,3,0.011499522164185705,688794.0725931664,688835.4294615196,028,066,110
234,3,0.01310574939610576,688422.5056427962,688463.8625111494,190,075,104
235,3,0.006850561112299869,689866.1191819882,689907.4760503414,078,122,011
236,3,0.0036920308158656656,690591.6145669472,690632.9714353004,107,002,113
237,3,0.01552816423800818,687860.985494178,687902.3423625312,150,188,007
238,3,0.04726884318954461,680373.0199471511,680414.3768155043,111,157,171
239,3,0.01802521536356838,687280.716461641,687322.0733299942,090,034,194
240,3,0.025033362006058657,685644.2349644867,685685.5918328399,104,138,146
241,3,0.01997140862108182,686827.432613777,686868.7894821302,094,171,025
242,3,9.74033249357964e-05,691414.4858359303,691455.8427042835,038,125,048
243,3,0.003359882976867845,690667.7732345266,690709.1301028798,131,015,000
244,3,0.003876417748628791,690549.3252550273,690590.6821233805,048,182,109
245,3,0.009647238239178346,689221.8107428905,689263.1676112437,159,075,111
246,3,0.01243575494890481,688577.5682561581,688618.9251245114,149,143,088
247,3,0.00934543490170714,689291.4287918032,689332.7856601564,002,143,172
248,3,0.006023126017543623,690056.3988461012,690097.7557144545,078,014,045
249,3,0.0019463809529810527,690991.5936096979,691032.9504780511,118,103,061
250,3,0.02320344846363387,686072.672451848,686114.0293202013,097,099,164
