,num_topics,scenario_r2,scenario_aic,scenario_bic,4,5,6
82,3,0.014123891981446923,3440.0328640839434,3465.845615529705,150,037,181
83,3,0.011316322722908723,3453.3700228717025,3479.182774317464,124,106,041
84,3,0.0627748370582013,3202.685376194615,3228.4981276403764,060,187,155
85,3,0.02554564440577456,3385.3802164387616,3411.192967884523,029,048,168
86,3,0.021538940740195356,3404.6247432777964,3430.437494723558,118,136,082
87,3,0.00726555198038481,3472.546329989742,3498.3590814355034,025,168,014
88,3,0.025090589323563117,3387.569862528695,3413.3826139744565,193,005,102
89,3,0.013712937141394765,3441.9874470071045,3467.800198452866,117,003,051
90,3,0.017178384507418487,3425.4795060231463,3451.292257468908,102,109,156
91,3,0.001579353641023129,3499.3331360824923,3525.1458875282538,162,051,047
92,3,0.0054936996889267675,3480.9096744471244,3506.722425892886,068,077,047
93,3,0.022562893079411617,3399.7141226813947,3425.526874127156,142,080,192
94,3,0.01538841701032534,3434.013416993137,3459.8261684388985,053,045,004
95,3,0.00014103274908294772,3506.0846698540445,3531.897421299806,108,105,196
96,3,3.629155375095561e-05,3506.5759496185237,3532.388701064285,187,196,138
97,3,0.008061065848582794,3468.786557449661,3494.5993088954224,188,169,159
98,3,0.007476812322025572,3471.5481613004813,3497.360912746243,199,075,188
99,3,0.00831407428571096,3467.590152221459,3493.4029036672205,105,151,189
100,3,0.008529648368460707,3466.57052259002,3492.3832740357816,000,116,186
101,3,0.019818940460558654,3412.8618819645235,3438.674633410285,094,016,025
102,3,0.0035622275887779997,3490.009485050192,3515.8222364959533,102,009,096
103,3,0.030520527560071176,3361.375023880424,3387.1877753261856,146,169,080
104,3,0.015939963420969372,3431.3855000689673,3457.198251514729,183,113,087
105,3,0.007760543998303948,3470.2072437101106,3496.019995155872,091,165,059
106,3,0.007670268041724326,3470.6339300047675,3496.446681450529,096,133,083
107,3,0.007833005862077247,3469.864727043503,3495.6774784892646,059,120,179
108,3,0.008649842258591223,3466.001929171971,3491.8146806177324,132,169,116
109,3,0.009701716376344982,3461.0229531108107,3486.835704556572,195,109,191
110,3,0.02574177198632399,3384.4361692112543,3410.248920657016,001,122,090
111,3,0.023152516641047338,3396.8841002765384,3422.6968517223,026,043,185
112,3,0.009921731082845442,3459.9808593974612,3485.7936108432227,095,020,168
113,3,0.001274106540374853,3500.766790433481,3526.5795418792427,150,107,031
114,3,0.01588472341177194,3431.648764872125,3457.4615163178864,081,007,101
115,3,0.007033246561959805,3473.6436878566583,3499.4564393024198,148,122,091
116,3,0.016787517602188662,3427.344342255281,3453.1570937010424,070,026,176
117,3,0.012012778956607018,3450.0650924718248,3475.8778439175862,199,136,072
118,3,0.005725936982774349,3479.8143368893143,3505.6270883350758,183,140,020
119,3,0.005361077909605494,3481.5350648298227,3507.347816275584,079,152,081
120,3,0.023812632107422016,3393.713709688569,3419.5264611343305,098,061,055
121,3,0.012788898879078525,3446.3793839706796,3472.192135416441,041,082,013
122,3,0.03733715786114389,3328.2820901826726,3354.094841628434,155,198,117
123,3,0.014255034170746916,3439.408954269951,3465.2217057157127,143,096,071
124,3,0.01010608569010607,3459.1074904502875,3484.920241896049,146,142,113
125,3,0.0025274438724836035,3494.8774432483697,3520.690194694131,022,099,160
126,3,0.0228132767964202,3398.5125619298105,3424.325313375572,080,178,007
127,3,0.008125201220821499,3468.48330831804,3494.2960597638016,178,075,079
